communication,JRN 3002,Introduction to News Editing,
communication,JRN 3020,Development Journalism,
communication,JRN 3301,Feature Writing,
communication,JRN 3922,Photojournalism,
communication,JRN 4031,Print Media Production,
communication,JRN 4401,Editorial Writing,
communication,JRN 3010,Television & Video Production I,
communication,JRN 3012,Broadcast Presentation,
communication,JRN 3013,Broadcast Journalism,
communication,JRN 3321,Radio Production I,
communication,JRN 4013,Broadcast Screenwriting,
communication,JRN 4030,Television & Video Production II,
communication,JRN 2109,History & Theory of Advertising,
communication,JRN 3018,Organizational Communication,
communication,JRN 3901,Principles of Advertising,
communication,JRN 3911,Principles of Public Relations,
communication,JRN 4033,Advertising Content & Media Audiences,
communication,JRN 4037,Advertising and Creative Strategy,
pharmacy,PHY 1331,Introduction to Medical Physiology (Human Physiology I),
pharmacy,ENV 2001,Sustainable Resource Management,
pharmacy,HAN 1321,Human Anatomy I,
pharmacy,CHE 1305,Inorganic Chemistry I (Basic Inorganic Chemistry),
pharmacy,BCM 1341,Cellular Biology (Biochemistry I),
pharmacy,PHY 1332,Human Physiology II,
pharmacy,NSC 2215,Introduction to Physical Mechanics,
pharmacy,CHE 1306,Inorganic Chemistry II (Atomic Structure and Chemical Bonding),
pharmacy,CHE 2305,Introduction to Organic Chemistry,
pharmacy,HAN 1322,Human Anatomy II,
pharmacy,PHY 1333,Human Physiology III,
pharmacy,HAN 1323,Human Anatomy III,
pharmacy,CHE 2307,Physical Chemistry,
pharmacy,CHE 2306,Synthetic Methods in Organic Chemistry,
pharmacy,BCM 1342,Biochemistry II,
pharmacy,PHM 3401,Introduction to Analytical Chemistry,
pharmacy,BCM 1343,Biochemistry III (Metabolism and Associated Disorders),
pharmacy,PHY 2334,Cardiovascular and Renal Physiology,
pharmacy,MIC 2365,Bacteriology,
pharmacy,BCM 2345,Biochemistry V (Enzymology),
pharmacy,HSC 2391,Health Economics,
pharmacy,SOC 2201,Introduction to Sociology,
pharmacy,PAT 3371,General Pathology,
pharmacy,PHY 2335,Human Physiology V,
pharmacy,BCM 2344,Biochemistry of Specialized Tissue,
pharmacy,MIC 2362,Parasitology and Entomology,
pharmacy,MIC 2366,Virology and Mycology,
pharmacy,CHE 2304,Chromatographic Methods,
pharmacy,PHY 2336,Human Physiology VI,
pharmacy,BCM 2346,Molecular Biology (Biochemistry VI),
pharmacy,MIC 2367,Immunopathology,
pharmacy,BCM 3347,Introduction to Pharmaceutical Biotechnology (Biochemistry VII),
pharmacy,BOT 3352,Plant Anatomy and Physiology,
pharmacy,CHE 2308,Nuclear Chemistry,
pharmacy,HSC 3492,Law and Ethics in Research,
pharmacy,PHM 3402,Instrumental Method Analysis,
pharmacy,PHM 3481,Introduction to Clinical Pharmacy (Clinical),
pharmacy,PHM 3471,Basic Pharmacology and Toxicology,
pharmacy,PHM 3411,Introduction to Pharmacy (Pharmaceuticals),
pharmacy,BOT 3353,General Plant Biochemistry and Toxicology,
pharmacy,PAT 3372,Haematology,
pharmacy,PHM 3451,General Pharmacognosy,
pharmacy,PHM 3412,Biopharmaceutics,
pharmacy,PHM 3404,Drug Discovery and Development,
pharmacy,PHM 3485,Clinical Management of Bacterial and Viral Diseases,
pharmacy,PHM 3472,Anti-Infective Drugs,
pharmacy,PHM 3483,Respiratory and Gastrointestinal Disorders,
pharmacy,PAT 3373,Clinical Chemistry,
pharmacy,PHM 3473,Respiratory and Gastrointestinal Pharmacology,
pharmacy,PHM 3405,Medicinal Chemistry of Pharmacodynamics Drugs,
pharmacy,PHM 3413,Physical Pharmaceutics,
 Parasitic and Protozoan Diseases,PHM 3487,Clinical Management of Fungal,
pharmacy,PHM 4492,Introduction to Social and Behavioral Pharmacy,
pharmacy,PHM 4484,Cardiovascular and Renal Disorders,
pharmacy,PHM 4474,Cardiovascular and Renal Pharmacology,
 Activities & Assays of Chemotherapeutic Agents,PHM 4405,Classification,
pharmacy,PHM 4414,Unit Operations,
pharmacy,PHM 4451,Fundamentals of Phytochemistry,
pharmacy,HSC 4493,Research Methods and Biostatistics,
pharmacy,PHM 4487,Endocrine and Reproductive System Disorders,
pharmacy,PHM 4475,Endocrine and Reproductive Pharmacology,
pharmacy,PHM 4452,Complementary and Alternative Medicine,
pharmacy,PHM 4425,Qualitative and Quantitative Analysis of Drugs (Pharmaceutical Analysis I),
pharmacy,PHM 4415,Powder Technology,
pharmacy,PHM 4406,Discovery & Development of Chemotherapeutic Agents,
pharmacy,PHM 4481,Pharmacy Practice Experience 1,
pharmacy,PHM 4493,Applied Social & Behavioral Pharmacy,
pharmacy,PHM 4488,Nervous and Musculoskeletal Disorders,
pharmacy,PHM 4476,Nervous and Musculoskeletal Pharmacology,
pharmacy,PHM 4426,Operations of a Quality Control Laboratory (Pharmaceutical Analysis II),
pharmacy,PHM 4416,Dispensing and Pharmacy Practice,
pharmacy,PHM 4482,Pharmacy Practice Experience II,
pharmacy,PHM 5492,Pharmaceutical Marketing Management,
pharmacy,PHM 5493,Pharmacy Management,
pharmacy,PHM 5407,Pharmaceutical Quality Control,
pharmacy,PHM 5490,Neoplastic Disorders,
pharmacy,PHM 5417,Dosage Forms,
pharmacy,PHM 4483,Pharmacy Practice Experience III,
pharmacy,PHM 5496,Pharmacy Law & Ethics,
pharmacy,PHM 5478,Veterinary Pharmacology,
pharmacy,PHM 5418,Pharmaceutical Microbiology,
pharmacy,PHM 5497,Research Proposal,
pharmacy,BUS 4090,Strategic Management,
pharmacy,PHM 5494,Elective Industrial & Hospital Attachment,
pharmacy,PHM 5498,Research Project and Thesis,
pharmacy,EPI 1000,Introduction to Epidemiology,
pharmacy,BST 1010,Introduction to Biostatistics,
pharmacy,EPI 1010,Epidemiology of Disease,
pharmacy,HSC 1394,Introduction to Global Health,
pharmacy,BST 1020,Introduction to Statistical Computing,
pharmacy,HSC 1330,Calculus for Health Sciences,
pharmacy,MIC 2360,Introduction to Microbiology & Parasitology,
