Course Code, Course Name,Unnamed: 2
FIC4020,Forensic Accounting & Fraud Investigation Security,
FIC4030,Information Systems Audit,
FIC4040,Information Technology & Cybercrime,
FIC4050,Computer Forensics & Investigation,
SUS 1010,Strategies for University Success,
MTH 1109,College Algebra,
IST 1010,Introduction to Information Systems,
ENG 1106,Composition 1,
POL 2201,Introduction to Political Science,
ENG 2206,Composition II,
IRL 2000,Foundation of International Relations,
IRL 2005,Comparative Foreign Policy,
IRL 2010,International Organisations,
IRL 3000,Comparative Political Systems,
IRL 3003,Research Methods in IR,
IRL 3005,Contemporary Theories & Ideologies,
IRL 3021,African Philosophy & Ideologies,
IRL 3060,African International Relations,
IRL 4020,International Law,
IRL 4030,International Political Economy,
IRL 4075,Mechanism of International Communication,
SEN 4800,Integrated Senior Seminar,
IRL 4900,International Relations Project,
IRL 4910,Internship,
CMS 3700,Community Service or Project,
IRL 3100,Diplomacy,
IRL 3110,Simulation Exercise,
IRL 3200,Negotiation & Mediation,
IRL 4120,International Humanitarian Law,
IRL 4035,Environmental Politics,
IRL 4040,Africa – Asia Relations,
IRL 4050,US./ Africa Relations,
IRL 4055,Africa – Middle East Relations,
IRL 4065,East Africa in World Affairs,
IRL 4151,Field Study,
IRL 4800,Critical Issues in Kenyan Foreign Policy,
ECO 1010,Principles of Microeconomics,
ECO 1020,Principles of Macroeconomics,
IRL 3010,Development Issues in Africa,
IRL 3045,Politics of Regionalism in Africa,
IRL 2100,Introduction to Human Rights,
IRL 2220,Gender and IR,
IRL 3040,Politics in Africa,
IRL 4150,Area Studies,
IRL 4220,Refugee Studies,
IRL 4811,Critical Issues in Africa,
IRL 3015,Introduction to Peace & Conflict Studies,
IRL 4001,Regional Conflicts in Africa,
IRL 4010,Geopolitics,
IRL 4045,Security Studies & Strategies,
IRL 4850,Studies in Contemporary International Crisis,
FIL 1010,Fundamentals of Information Literacy,
GRM 2000,Introduction to Research Methods,
PSY 1101,Introduction to Psychology,
PSY 1105,Developmental Psychology,
PSY 1111,Writing in Psychology,
PSY 1110,Experimental Psychology,
PSY 2105,Social Psychology,
PSY 2120,Psychology of Learning,
PSY 3105,History & Systems of Psychology,
PSY 2125,Human Sexuality,
PSY 3116,Psychology of Adolescence,
PSY 3110,Psychology of Personality,
PSY 3125,Multicultural Diversity in Psychology,
PSY 3141,Psychology of Special Needs,
PSY 3115,Abnormal Psychology,
PSY 4105,Statistics For Psychology,
PSY 4109,Tests and Measurements,
PSY 4110,Research Methods,
PSY 4117,Cognitive Psychology,
PSY 4900,Project / Internship,
PSY 4181,Fieldwork in Chemical Dependency,
CJS 1101,Introduction to Criminal Justice Systems,
CJS 1103,Juvenile Justice,
CJS 1104,Criminology,
CJS 2201,Criminal Law,
CJS 2202,Criminal Procedure,
CJS 2204,Corrections and Punishment,
CJS 2205,Ethics in Criminal Justice,
CJS 2211,Community and Social Justice,
CJS 3301,Crime and Public Policy,
CJS 3303,Victimology,
CJS 3306,Criminal Investigations,
CJS 3307,Comparative Criminal Justice Systems,
CJS 3309,Terrorism and International Security,
CJS 4120,Criminal Evidence,
CJS 4130,Research Methods in Criminal Justice,
CJS 4136,International Criminal Law & Procedures,
CJS 4900,Criminal Justice Project,
CJS 4910,Criminal Justice Internship,
CJS 2207,Diversity and Criminal Justice,
CJS 2210,Crime and Gender,
CJS 3305,Forensic Science,
CJS 3312,Community Policing,
CJS 3313,Information Technology & Crime,
